_id__$oid	course	semester	count	lastUpdated__$date	lastStatus
5a13b277ce2097cd143de8cd	STSC-135-401	2018A	9	2018-02-10T21:30:03.195Z	FALSE
5a13b278ce2097cd143de8e5	ESE-350-001	2018A	1	2017-12-12T05:20:06.436Z	FALSE
5a13b281ce2097cd143de95c	MATH-240-001	2018A	1	2017-12-12T05:20:06.445Z	FALSE
5a13b296ce2097cd143dea8f	ESE-112-001	2018A	1	2017-12-12T05:20:06.489Z	FALSE
5a13b29ace2097cd143deac8	WRIT-030-303	2018A	1	2018-02-10T21:30:03.222Z	FALSE
5a13b2a6ce2097cd143debc5	MATH-170-202	2018A	6	2018-02-10T21:30:03.213Z	FALSE
5a13b2aace2097cd143debed	MATH-370-001	2018A	4	2017-11-29T05:56:26.735Z	TRUE
5a13b2c1ce2097cd143ded40	NELC-235-301	2018A	8	2018-02-10T21:30:03.222Z	FALSE
5a13b2c3ce2097cd143ded4f	FNAR-264-402	2018A	5	2018-02-10T21:30:17.478Z	FALSE
5a13b2c7ce2097cd143dedaa	CIS-553-001	2018A	3	2017-12-11T20:10:06.126Z	FALSE
5a13b2d0ce2097cd143dee2c	COMM-123-001	2018A	5	2018-02-10T21:30:14.584Z	FALSE
5a13b2eace2097cd143defc8	PSCI-183-203	2018A	16	2018-02-10T21:30:03.247Z	FALSE
5a13b2ecce2097cd143deffc	CIMS-202-601	2018A	3	2018-02-10T21:30:03.292Z	FALSE
5a13b2f4ce2097cd143df067	ESE-224-104	2018A	2	2018-02-10T21:30:15.857Z	FALSE
5a13b2ffce2097cd143df124	ESE-224-103	2018A	2	2017-12-12T05:20:06.841Z	FALSE
5a13b307ce2097cd143df1b1	MKTG-101-208	2018A	15	2018-02-10T21:30:03.319Z	FALSE
5a13b34ace2097cd143df591	PUBH-501-001	2018A	1	2017-11-29T16:05:17.743Z	TRUE
5a13b384ce2097cd143df907	THAR-120-304	2018A	7	2018-02-10T21:30:20.719Z	FALSE
5a13b391ce2097cd143df9ce	BIOL-006-301	2018A	1	2017-11-29T19:15:06.529Z	FALSE
5a13b3a1ce2097cd143dfadb	ENGL-016-301	2018A	1	2018-01-10T19:30:08.775Z	TRUE
5a13b3a9ce2097cd143dfb44	PHYS-151-132	2018A	11	2018-02-10T21:30:03.341Z	FALSE
5a13b3aace2097cd143dfb67	MATH-240-002	2018A	4	2017-12-12T05:20:07.016Z	FALSE
